Zr_wt%,Liquidus_Temp_K,Liquidus_Temp_C
0.0,930.0,656.85
0.05,930.0,656.85
0.1,940.0,666.85
0.15000000000000002,970.0,696.85
0.2,995.0,721.85
0.25,1015.0,741.85
0.30000000000000004,1035.0,761.85
0.35000000000000003,1050.0,776.85
0.4,1065.0,791.85
0.45,1075.0,801.85
0.5,1085.0,811.85
0.55,1095.0,821.85
0.6000000000000001,1105.0,831.85
0.65,1115.0,841.85
0.7000000000000001,1125.0,851.85
0.75,1130.0,856.85
0.8,1140.0,866.85
0.8500000000000001,1145.0,871.85
0.9,1150.0,876.85
0.9500000000000001,1160.0,886.85
1.0,1165.0,891.85
1.05,1170.0,896.85
1.1,1175.0,901.85
1.1500000000000001,1180.0,906.85
1.2000000000000002,1190.0,916.85
1.25,1195.0,921.85
1.3,1200.0,926.85
1.35,1205.0,931.85
1.4000000000000001,1210.0,936.85
1.4500000000000002,1210.0,936.85
1.5,1215.0,941.85
1.55,1220.0,946.85
1.6,1225.0,951.85
1.6500000000000001,1230.0,956.85
1.7000000000000002,1235.0,961.85
1.75,1240.0,966.85
1.8,1240.0,966.85
1.85,1245.0,971.85
1.9000000000000001,1250.0,976.85
1.9500000000000002,1255.0,981.85
2.0,1255.0,981.85
